Node_id ; adjacency_list
2187165776 > [315785507, 3868622935]
2187165779 > [2187165771]
2187165771 > [2187165779]
3759792697 > [3759792696]
3759792696 > [3759792684, 3759792697]
1357337285 > [1357337642, 1357335891]
3785876356 > [3785876353, 3785880257]
3785876355 > [4528266732, 3936145721]
3759792701 > [3759792692]
3759792703 > [3759792704, 2196765312]
3785876353 > [3785876356]
3759792702 > [3759792705, 3759792685]
2334165256 > [2500762006, 1535039193]
3759792689 > [3759792690, 3759792691]
3759792688 > [3759792693, 3759792682]
3759792691 > [3759792689, 3759792697]
3759792690 > [3759792692, 3759792689]
3759792693 > [4430440945, 3759792688]
3759792692 > [3759792701, 3759792690]
3759792695 > [4430440944]
3759792681 > [4430454239]
3818512809 > [3818512808, 3514057822]
3818512808 > [3818512807, 3818512809]
3759792683 > [3759792682, 4937961102]
3759792682 > [3759792681, 3759792683]
3759792685 > [5093869763, 3759792684]
3759792684 > [3759792685, 4430454239]
3759792687 > [3759792681, 3759792695]
356325130 > [357850843]
3818512807 > [3818512806, 3818512808]
3818512806 > [3514057822, 3818512807]
794504473 > [3674323605]
3759792705 > [2099340395, 3759792704]
3759792704 > [3759792705, 3759792703]
356325199 > [356313823, 418313811]
2841816032 > [2841816045, 2841816031]
2647236427 > [3833743250]
2647236426 > [2647236419]
2841816033 > [2841816020, 2841816029]
2841816036 > [2841816025]
2528089128 > [1484633028, 1484633032]
2841816042 > [2841816045]
356325300 > [418313822, 356327638]
2647236416 > [2647236415, 2647236419]
2841816043 > [2841816001]
2647236419 > [2647236416, 2647236426]
2841816041 > [2841815590, 2841816004]
2841816044 > [2841816009, 2841816013]
2841816045 > [2841816042, 2841816020]
2528089139 > [2131798271, 1789758352]
1357337210 > [1357336598, 1357337901]
2841816001 > [2841816043, 2841816045]
1719231711 > [2552110214]
2153939652 > [2045668120, 2045668102]
2841816004 > [2841816041]
2841816010 > [2841816030, 2841816011]
2841816011 > [2841816010]
2841816008 > [2045668045, 2841816031]
2841816009 > [2841816044]
2138602965 > [1306060480, 1306060438]
2841816015 > [2841815597, 2841815592]
2841816013 > [2045668137, 2045668125]
