Node_id ; 'lat' and 'lon'
2241627465 >  lat = 55.9778444 lon = 92.6564375
2241627466 >  lat = 55.9778673 lon = 92.6563352
457317269 >  lat = 55.9981829 lon = 93.0370062
2241627467 >  lat = 55.9778687 lon = 92.6571132
457317274 >  lat = 55.9972619 lon = 93.0367916
2241627460 >  lat = 55.977807 lon = 92.6591937
457317275 >  lat = 55.9970879 lon = 93.036856
2241627462 >  lat = 55.9778186 lon = 92.6565476
356324839 >  lat = 56.0299822 lon = 92.8607814
457317273 >  lat = 55.9977089 lon = 93.0366468
2241627463 >  lat = 55.9778215 lon = 92.6569571
457317278 >  lat = 55.996782 lon = 93.0366039
346035324 >  lat = 56.0108871 lon = 92.8485048
457317279 >  lat = 55.9964669 lon = 93.0364303
2241627458 >  lat = 55.9777039 lon = 92.6590453
457317277 >  lat = 55.9968599 lon = 93.0366683
2308213108 >  lat = 56.097904 lon = 92.9397295
2107211129 >  lat = 56.0351561 lon = 92.8621059
457317283 >  lat = 55.998689 lon = 93.0375
2107211131 >  lat = 56.0352617 lon = 92.8638012
457317281 >  lat = 55.9984673 lon = 93.0369849
2107211130 >  lat = 56.0352247 lon = 92.8630878
457317286 >  lat = 55.9979459 lon = 93.0372369
2308213104 >  lat = 56.0976574 lon = 92.9397325
457317287 >  lat = 55.9977749 lon = 93.0372798
2107211132 >  lat = 56.0353427 lon = 92.8641304
457317284 >  lat = 55.9986149 lon = 93.0375963
457317285 >  lat = 55.9980929 lon = 93.0371832
457317290 >  lat = 55.9987196 lon = 93.0381659
2241627508 >  lat = 55.9785482 lon = 92.6567497
2308213116 >  lat = 56.098563 lon = 92.933055
457317288 >  lat = 55.99764 lon = 93.0373388
2241627510 >  lat = 55.9786282 lon = 92.6563154
457317289 >  lat = 55.9988263 lon = 93.0378544
2241627511 >  lat = 55.9787103 lon = 92.6558575
2308213112 >  lat = 56.0983335 lon = 92.9308021
2241627504 >  lat = 55.978492 lon = 92.6571955
2308213113 >  lat = 56.0984714 lon = 92.9330606
2241627506 >  lat = 55.9785219 lon = 92.6560005
2308213115 >  lat = 56.098554 lon = 92.9397273
2241627500 >  lat = 55.9783731 lon = 92.6574339
2241627501 >  lat = 55.9784693 lon = 92.6574737
2308213093 >  lat = 56.0974984 lon = 92.9398978
1357336598 >  lat = 55.9543374 lon = 92.9226712
2308213094 >  lat = 56.09752 lon = 92.9361888
2308213095 >  lat = 56.0975845 lon = 92.9398033
2308213088 >  lat = 56.0973517 lon = 92.9401334
2241627497 >  lat = 55.978365 lon = 92.656547
2308213089 >  lat = 56.0974012 lon = 92.9400822
2308213090 >  lat = 56.0974248 lon = 92.9361819
2308213091 >  lat = 56.0974603 lon = 92.9400036
2241627492 >  lat = 55.9783174 lon = 92.6570701
2241627493 >  lat = 55.9783369 lon = 92.6587791
2241627495 >  lat = 55.9783437 lon = 92.656862
2308213096 >  lat = 56.0975952 lon = 92.9361776
2241627489 >  lat = 55.9782333 lon = 92.6565434
2241627490 >  lat = 55.9782343 lon = 92.6577578
457317309 >  lat = 55.9977029 lon = 93.0381435
2241627491 >  lat = 55.978291 lon = 92.6582519
3041702984 >  lat = 56.0286651 lon = 92.9695659
4839776627 >  lat = 56.0348375 lon = 92.8317907
4839776628 >  lat = 56.0332588 lon = 92.831571
4839776629 >  lat = 56.0339917 lon = 92.8317107
1357337074 >  lat = 55.9581533 lon = 92.9307734
4839776621 >  lat = 56.035064 lon = 92.8295735
5156975221 >  lat = 56.0416681 lon = 92.8632084
4839776622 >  lat = 56.0349146 lon = 92.8293447
5156975222 >  lat = 56.0417062 lon = 92.8633992
4839776623 >  lat = 56.0348545 lon = 92.828749
5156975226 >  lat = 56.0419081 lon = 92.8644106
5156975227 >  lat = 56.0432819 lon = 92.8716757
1307659473 >  lat = 56.0619515 lon = 92.9369471
3774472665 >  lat = 56.0102417 lon = 92.8661781
3774472664 >  lat = 56.0104827 lon = 92.8643754
4060803886 >  lat = 55.990657 lon = 92.9343045
4060803887 >  lat = 55.9900359 lon = 92.9347283
1307659480 >  lat = 56.062026 lon = 92.937051
3339437602 >  lat = 56.0217361 lon = 92.751365
3774472663 >  lat = 56.0105106 lon = 92.8648688
3774472662 >  lat = 56.010176 lon = 92.8649101
3746750050 >  lat = 56.0435711 lon = 92.9208599
1307659458 >  lat = 56.0622117 lon = 92.9372594
3746750049 >  lat = 56.0439329 lon = 92.9202884
4421256882 >  lat = 56.0329589 lon = 92.8640258
4061262629 >  lat = 56.0296964 lon = 93.0301083
4061262628 >  lat = 56.0311482 lon = 93.0302172
1307659463 >  lat = 56.0622614 lon = 92.9359075
4421256880 >  lat = 56.0329874 lon = 92.8638683
4061262630 >  lat = 56.0297496 lon = 93.0289758
3746750058 >  lat = 56.0437209 lon = 92.9211549
1307659467 >  lat = 56.0626173 lon = 92.9380684
3746750056 >  lat = 56.0440846 lon = 92.9205895
1307659466 >  lat = 56.0619683 lon = 92.9364849
1307659468 >  lat = 56.0619602 lon = 92.9366542
1357337050 >  lat = 55.9549824 lon = 92.9212366
5271337825 >  lat = 56.1247868 lon = 92.9721151
5271337824 >  lat = 56.1240184 lon = 92.9685012
1357337010 >  lat = 55.9545372 lon = 92.9304091
2950082234 >  lat = 55.9754932 lon = 92.8879554
2432274838 >  lat = 55.9941448 lon = 92.7779507
2950082233 >  lat = 55.9764379 lon = 92.8944502
1357336982 >  lat = 55.9540669 lon = 92.9257634
1357336991 >  lat = 55.9573377 lon = 92.9293165
3240935597 >  lat = 55.9868379 lon = 92.8862001
3240935599 >  lat = 55.9868876 lon = 92.8775867
2950082128 >  lat = 55.9773416 lon = 92.8918953
3240935594 >  lat = 55.9868062 lon = 92.8866468
3240935589 >  lat = 55.9867781 lon = 92.8775034
3240935585 >  lat = 55.986729 lon = 92.8852868
3240935612 >  lat = 55.9873677 lon = 92.8781273
1357336950 >  lat = 55.9555983 lon = 92.9302084
3240935615 >  lat = 55.9874231 lon = 92.8781909
2950082126 >  lat = 55.9746653 lon = 92.893102
2950082127 >  lat = 55.9767277 lon = 92.892143
3240935600 >  lat = 55.9869049 lon = 92.8844958
3240935601 >  lat = 55.9869182 lon = 92.8797277
3240935603 >  lat = 55.9869647 lon = 92.8838683
3240935564 >  lat = 55.9859118 lon = 92.8771603
5257115896 >  lat = 56.0311364 lon = 92.8206605
3240935565 >  lat = 55.985918 lon = 92.8794353
5257115897 >  lat = 56.031145 lon = 92.8189675
3240935566 >  lat = 55.9859202 lon = 92.8787544
5257115898 >  lat = 56.0305469 lon = 92.8189778
3240935567 >  lat = 55.9859216 lon = 92.8807333
5257115899 >  lat = 56.0305499 lon = 92.8206918
3240935561 >  lat = 55.9858967 lon = 92.8782297
3240935562 >  lat = 55.9859113 lon = 92.8785554
4360766027 >  lat = 56.0335612 lon = 92.8984436
4360766026 >  lat = 56.0335551 lon = 92.8987785
3240935563 >  lat = 55.9859114 lon = 92.8793194
5257115894 >  lat = 56.0302709 lon = 92.8213098
5257115895 >  lat = 56.030268 lon = 92.8207068
3240935581 >  lat = 55.9866147 lon = 92.8779002
3240935578 >  lat = 55.9864559 lon = 92.8861736
3240935579 >  lat = 55.9864726 lon = 92.886663
3240935572 >  lat = 55.9860263 lon = 92.8797002
3240935573 >  lat = 55.9860402 lon = 92.8801444
3240935568 >  lat = 55.9859258 lon = 92.8795704
3240935569 >  lat = 55.9859332 lon = 92.8836176
4741143335 >  lat = 56.0373726 lon = 92.8760224
3240935571 >  lat = 55.9859667 lon = 92.8842539
4741143334 >  lat = 56.0379466 lon = 92.8759613
4360765996 >  lat = 56.0332105 lon = 92.8987808
4360765999 >  lat = 56.033242 lon = 92.898456
4360765992 >  lat = 56.0331942 lon = 92.8970371
4360765994 >  lat = 56.0332044 lon = 92.8984579
3223175637 >  lat = 56.0492617 lon = 92.9592689
3223175636 >  lat = 56.0491805 lon = 92.9591141
3223175638 >  lat = 56.0504708 lon = 92.9558309
3240935655 >  lat = 55.9889122 lon = 92.8819835
3240935649 >  lat = 55.9884737 lon = 92.8809422
3240935650 >  lat = 55.988679 lon = 92.8805899
3082204793 >  lat = 56.0150254 lon = 92.8699784
4360766012 >  lat = 56.0334293 lon = 92.8984463
3223175631 >  lat = 56.0493948 lon = 92.9580988
3223175630 >  lat = 56.0493935 lon = 92.957385
1357336883 >  lat = 55.9542292 lon = 92.9192742
3223175625 >  lat = 56.0449964 lon = 92.9459562
3223175624 >  lat = 56.0444061 lon = 92.9470613
3223175626 >  lat = 56.0450353 lon = 92.9456934
3223175621 >  lat = 56.0442023 lon = 92.9485902
3223175620 >  lat = 56.0451132 lon = 92.9454252
4360766007 >  lat = 56.0334068 lon = 92.8970006
3223175623 >  lat = 56.0442952 lon = 92.9473617
3223175622 >  lat = 56.0442563 lon = 92.9477748
418584851 >  lat = 56.0200829 lon = 92.8790797
3240935628 >  lat = 55.9877719 lon = 92.8849969
418584850 >  lat = 56.0201906 lon = 92.8793327
3240935630 >  lat = 55.9877973 lon = 92.8866135
418584848 >  lat = 56.0206156 lon = 92.8792539
3240935631 >  lat = 55.9877885 lon = 92.8863547
1357336835 >  lat = 55.9564597 lon = 92.9303199
3240935625 >  lat = 55.9877651 lon = 92.8840501
3240935626 >  lat = 55.9877681 lon = 92.8844677
418584858 >  lat = 56.0200797 lon = 92.8768103
3240935621 >  lat = 55.9875784 lon = 92.8801544
